Organized by total time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
         8        0.000071        0.000009             0.000120             0.000015 set_gold_border                views\bordered_pictograph_view.py:52
         1        0.000070        0.000070             0.000088             0.000088 closeEvent                     main_window\main_window.py:88
        16        0.000070        0.000004             0.000153             0.000010 update_overlay_position        legacy_beat_frame\beat_selection_overlay.py:104
        15        0.000063        0.000004             0.003245             0.000216 resize_beat_frame              legacy_beat_frame\beat_frame_resizer.py:21
        12        0.000063        0.000005             0.001913             0.000159 resizeEvent                    codex\codex_section_type_label.py:36
         2        0.000062        0.000031             0.000064             0.000032 <lambda>                       fade_manager\widget_fader.py:91
         7        0.000058        0.000008             0.000119             0.000017 _get_generator_key             turns_tuple_generator\turns_tuple_generator.py:83
         1        0.000058        0.000058             0.000121             0.000121 resize_beats                   layout_beat_frame\layout_beat_frame.py:121
        20        0.000056        0.000003             0.001498             0.000075 resizeEvent                    turns_display_frame\adjust_turns_button.py:134
        15        0.000055        0.000004             0.003306             0.000220 resizeEvent                    legacy_beat_frame\legacy_beat_frame.py:83
         2        0.000053        0.000027             0.002395             0.001197 reset_state_for_new_pictograph turns_widget\turns_widget.py:85
         1        0.000052        0.000052             0.015497             0.015497 _update_graph_editor           legacy_beat_frame\beat_selection_overlay.py:53
         2        0.000051        0.000026             0.001471             0.000735 resizeEvent                    widgets\reversal_combobox.py:26
         4        0.000049        0.000012             0.000063             0.000016 resizeEvent                    turns_widget\motion_type_label.py:20
         1        0.000048        0.000048             0.000857             0.000857 update_buttons                 navigation_widget\menu_bar_nav_widget.py:90
         4        0.000048        0.000012             0.002064             0.000516 update_turns_display           turns_display_frame\turns_display_frame.py:68
         6        0.000048        0.000008             0.000066             0.000011 resizeEvent                    turns_widget\turns_text_label.py:16
        15        0.000045        0.000003             0.000684             0.000046 get_image_path                 utils\path_helpers.py:26
         1        0.000044        0.000044             0.000047             0.000047 resizeEvent                    image_export\image_export_tab.py:176
        14        0.000044        0.000003             0.000087             0.000006 qt_message_handler             legacy\main.py:177
         1        0.000043        0.000043             0.003622             0.003622 fade_widgets                   fade_manager\widget_fader.py:33
         2        0.000043        0.000021             0.000288             0.000144 update_size_and_style          option_picker\resizable_mixin.py:12
         1        0.000042        0.000042             0.000214             0.000214 resizeEvent                    length_selector\length_selector.py:50
         3        0.000042        0.000014             0.000048             0.000016 resizeEvent                    codex\codex_control_button.py:47
         2        0.000042        0.000021             0.000242             0.000121 resizeEvent                    widgets\reversal_filter_widget.py:28
         4        0.000041        0.000010             0.000237             0.000059 update_turns_box_header        turns_box\turns_box_header.py:33
        15        0.000041        0.000003             0.000216             0.000014 calculate_beat_size            legacy_beat_frame\beat_frame_resizer.py:43
         7        0.000041        0.000006             0.000186             0.000027 resizeEvent                    image_export\image_export_tab_button.py:96
         8        0.000041        0.000005             0.000715             0.000089 resizeEvent                    ori_picker_widget\ori_button.py:50
         1        0.000041        0.000041             0.004556             0.004556 _apply_data_update             updater\pictograph_updater.py:34
         3        0.000040        0.000013             0.000057             0.000019 resizeEvent                    pictograph_container\legacy_GE_pictograph_container.py:59
         1        0.000040        0.000040             0.000405             0.000405 paint_background               snowfall\snowfall_background.py:19
         8        0.000040        0.000005             0.000046             0.000006 resize_button                  ori_picker_widget\rotate_button.py:27
         8        0.000039        0.000005             0.000180             0.000022 reset_border                   views\bordered_pictograph_view.py:60
         6        0.000039        0.000007             0.001356             0.000226 resizeEvent                    turns_display_frame\turns_display_frame.py:88
         2        0.000039        0.000019             0.000160             0.000080 resizeEvent                    views\visibility_pictograph_view.py:32
        12        0.000039        0.000003             0.000044             0.000004 lighten_color                  ori_picker_box\color_utils.py:2
         1        0.000037        0.000037             0.001324             0.001324 update_turns_panel             adjustment_panel\legacy_adjustment_panel.py:139
        24        0.000035        0.000001             0.000045             0.000002 get_font_size                  codex\codex_section_type_label.py:33
         2        0.000035        0.000018             0.000466             0.000233 resizeEvent                    widgets\choose_your_next_pictograph_label.py:17
         3        0.000035        0.000012             0.000035             0.000012 sequence_beat_frame            global_settings\app_context.py:255
       108        0.000033        0.000000             0.000081             0.000001 <lambda>                       construct_tab\construct_tab_factory.py:72
         2        0.000033        0.000016             0.000688             0.000344 _parse_svg                     grid\non_radial_points_group.py:21
         1        0.000033        0.000033             0.015603             0.015603 select_beat_view               legacy_beat_frame\beat_selection_overlay.py:28
         2        0.000032        0.000016             0.001808             0.000904 _create_grid_items             grid\grid.py:30
         1        0.000031        0.000031             0.000492             0.000492 resizeEvent                    layout_selector\layout_selector.py:63
         2        0.000031        0.000016             0.002098             0.001049 update_turns_displays          adjustment_panel\legacy_adjustment_panel.py:125
         1        0.000030        0.000030             0.000044             0.000044 _resize_start_ori_label        codex\codex_ori_selector.py:78
         4        0.000030        0.000008             0.000103             0.000026 resizeEvent                    ori_picker_widget\rotate_buttons_widget.py:56
         1        0.000030        0.000030             0.004394             0.004394 toggle                         graph_editor\graph_editor_animator.py:22
         1        0.000030        0.000030             0.000101             0.000101 update_rot_dir_buttons         adjustment_panel\legacy_adjustment_panel.py:103
        10        0.000030        0.000003             0.001410             0.000141 _update_style                  scroll\section_type_button.py:66
         1        0.000029        0.000029             0.000030             0.000030 resizeEvent                    prop_type\prop_type_tab.py:163
         7        0.000029        0.000004             0.000040             0.000006 __init__                       turns_tuple_generator\turns_tuple_generator.py:51
         2        0.000029        0.000015             0.000058             0.000029 update_dots                    dot_handler\dot_handler.py:44
         1        0.000029        0.000029             0.000030             0.000030 resizeEvent                    labels\circular_sequence_indicator.py:99
         4        0.000028        0.000007             0.000058             0.000015 reposition_toggle_tab          graph_editor\legacy_graph_editor_toggle_tab.py:98
         7        0.000028        0.000004             0.000040             0.000006 show_prop_rot_dir_buttons      turns_box\turns_box_header.py:60
        15        0.000028        0.000002             0.000149             0.000010 update_views                   legacy_beat_frame\beat_frame_resizer.py:67
         1        0.000027        0.000027             0.000154             0.000154 _update_related_components     turns_adjustment_manager\turns_adjustment_manager.py:265
         1        0.000027        0.000027             0.001453             0.001453 update_adjustment_panel        adjustment_panel\legacy_adjustment_panel.py:70
         1        0.000026        0.000026             0.008273             0.008273 update_pictograph              pictograph_container\legacy_GE_pictograph_container.py:30
         1        0.000026        0.000026             0.000043             0.000043 _notify_external_components    turns_widget\turns_widget.py:120
         2        0.000026        0.000013             0.000070             0.000035 update_button_states           prop_rot_dir_button_manager\prop_rot_dir_logic_handler.py:47
         1        0.000025        0.000025             0.000032             0.000032 resizeEvent                    layout_controls\update_default_layout_button.py:21
         4        0.000025        0.000006             0.000071             0.000018 resize_rotate_buttons_widget   ori_picker_widget\rotate_buttons_widget.py:34
         1        0.000025        0.000025             0.000118             0.000118 resizeEvent                    visibility\visibility_tab.py:190
         1        0.000025        0.000025             0.000667             0.000667 resizeEvent                    codex\codex_ori_selector.py:72
         8        0.000025        0.000003             0.001047             0.000131 resizeEvent                    buttons_widget\visibility_button.py:126
         3        0.000025        0.000008             0.001802             0.000601 _update_buttons                turns_adjustment_manager\turns_presenter.py:27
        10        0.000024        0.000002             0.000095             0.000009 apply_color_transformations    svg_manager\svg_color_handler.py:13
        70        0.000024        0.000000             0.000029             0.000000 <genexpr>                      legacy\main.py:185
         1        0.000024        0.000024             0.000030             0.000030 resizeEvent                    layout_controls\default_layout_label.py:25
         2        0.000024        0.000012             0.001050             0.000525 current                        turns_adjustment_manager\turns_state.py:18
         1        0.000024        0.000024             0.000598             0.000598 _resize_combo_box              codex\codex_ori_selector.py:83
         3        0.000024        0.000008             0.000024             0.000008 __init__                       motion\handpath_calculator.py:22
         1        0.000023        0.000023             0.000939             0.000939 _on_turns_changed              turns_adjustment_manager\turns_adjustment_manager.py:254
         3        0.000022        0.000007             0.000058             0.000019 _update_motion_type            turns_adjustment_manager\turns_presenter.py:53
         1        0.000021        0.000021             0.000287             0.000287 _set_current_stack_widgets     adjustment_panel\legacy_adjustment_panel.py:120
         2        0.000021        0.000011             0.008323             0.004161 clear_graphics_effects         fade_manager\graphics_effect_remover.py:14
         1        0.000021        0.000021             0.000022             0.000022 clear_previous_animations      graph_editor\graph_editor_animator.py:34
